ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430598543.82855,dbt2,38387,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.589541+01,,2015-05-02 21:29:03.823916+01,f,COMMIT,idle,2015-05-02 21:29:03.825993+01
1430598543.82855,dbt2,38389,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.689504+01,,2015-05-02 21:29:03.824465+01,f,COMMIT,idle,2015-05-02 21:29:03.826444+01
1430598543.82855,dbt2,38391,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.789671+01,,2015-05-02 21:29:03.817917+01,f,COMMIT,idle,2015-05-02 21:29:03.819943+01
1430598543.82855,dbt2,38393,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.889793+01,2015-05-02 21:29:03.826505+01,2015-05-02 21:29:03.826704+01,t,"SELECT payment(1, 9, 2840, 1, 9, '', 4814.140000)",active,2015-05-02 21:29:03.826705+01
1430598543.82855,dbt2,38395,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.989862+01,2015-05-02 21:29:03.824194+01,2015-05-02 21:29:03.824223+01,f,"SELECT payment(1, 3, 1510, 1, 3, '', 2867.270000)",idle in transaction,2015-05-02 21:29:03.827424+01
1430598543.82855,dbt2,38397,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.090027+01,2015-05-02 21:29:03.826548+01,2015-05-02 21:29:03.827435+01,f,FETCH ALL IN mycursor,idle in transaction,2015-05-02 21:29:03.829975+01
1430598543.82855,dbt2,38399,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.190128+01,,2015-05-02 21:29:03.820983+01,f,COMMIT,idle,2015-05-02 21:29:03.823856+01
1430598543.82855,dbt2,38401,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.290327+01,,2015-05-02 21:29:03.813102+01,f,COMMIT,idle,2015-05-02 21:29:03.814095+01
1430598543.82855,dbt2,38403,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.390428+01,,2015-05-02 21:29:03.813042+01,f,COMMIT,idle,2015-05-02 21:29:03.813055+01
1430598543.82855,dbt2,38405,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.490541+01,,2015-05-02 21:29:03.79653+01,f,COMMIT,idle,2015-05-02 21:29:03.797557+01
1430598543.82855,dbt2,38526,10,mark,psql,,-1,2015-05-02 21:29:03.817264+01,2015-05-02 21:29:03.818757+01,2015-05-02 21:29:03.818757+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-02 21:29:03.818762+01
1430598543.82855,dbt2,38527,10,mark,psql,,-1,2015-05-02 21:29:03.824555+01,,,f,"",idle,2015-05-02 21:29:03.825965+01
1430598543.82855,dbt2,38528,10,mark,psql,,-1,2015-05-02 21:29:03.827128+01,2015-05-02 21:29:03.82855+01,2015-05-02 21:29:03.82855+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-02 21:29:03.828555+01
1430598603.83325,dbt2,38387,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.589541+01,2015-05-02 21:30:03.830473+01,2015-05-02 21:30:03.830647+01,t,"SELECT payment(1, 2, 896, 1, 2, '', 69.850000)",active,2015-05-02 21:30:03.830648+01
1430598603.83325,dbt2,38389,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.689504+01,2015-05-02 21:30:03.8317+01,2015-05-02 21:30:03.831734+01,t,"SELECT payment(1, 9, 2960, 1, 9, '', 2737.640000)",active,2015-05-02 21:30:03.831734+01
1430598603.83325,dbt2,38391,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.789671+01,2015-05-02 21:30:03.834256+01,2015-05-02 21:30:03.83429+01,f,"DECLARE mycursor CURSOR FOR SELECT new_order(1, 7, 2024, 1, 15, make_new_order_info(16332, 1, 1), make_new_order_info(89056, 1, 9), make_new_order_info(8191, 1, 3), make_new_order_info(77819, 1, 8), make_new_order_info(6488, 1, 10), make_new_order_info(8158, 1, 6), make_new_order_info(26670, 1, 1), make_new_order_info(57264, 1, 10), make_new_order_info(53072, 1, 1), make_new_order_info(40655, 1, 2), make_new_order_info(98258, 1, 9), make_new_order_info(72432, 1, 4), make_new_order_info(87544, 1, 2), make_new_order_info(55224, 1, 5), make_new_order_info(92987, 1, 7) )",idle in transaction,2015-05-02 21:30:03.8344+01
1430598603.83325,dbt2,38393,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.889793+01,2015-05-02 21:30:03.830495+01,2015-05-02 21:30:03.831059+01,f,FETCH ALL IN mycursor,idle in transaction,2015-05-02 21:30:03.832064+01
1430598603.83325,dbt2,38395,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.989862+01,2015-05-02 21:30:03.808225+01,2015-05-02 21:30:03.808247+01,t,"SELECT payment(1, 6, 0, 1, 6, 'ESEBARATION', 4993.200000)",active,2015-05-02 21:30:03.808248+01
1430598603.83325,dbt2,38397,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.090027+01,2015-05-02 21:30:03.808061+01,2015-05-02 21:30:03.808083+01,t,"SELECT payment(1, 8, 0, 1, 8, 'ABLEPRIEING', 3298.670000)",active,2015-05-02 21:30:03.808084+01
1430598603.83325,dbt2,38399,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.190128+01,2015-05-02 21:30:03.813405+01,2015-05-02 21:30:03.813432+01,t,"SELECT payment(1, 3, 0, 1, 3, 'OUGHTABLEANTI', 1975.670000)",active,2015-05-02 21:30:03.813432+01
1430598603.83325,dbt2,38401,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.290327+01,2015-05-02 21:30:03.826287+01,2015-05-02 21:30:03.83314+01,f,COMMIT,active,2015-05-02 21:30:03.83314+01
1430598603.83325,dbt2,38403,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.390428+01,2015-05-02 21:30:03.832559+01,2015-05-02 21:30:03.832586+01,t,"SELECT payment(1, 4, 0, 1, 4, 'ESEBARABLE', 3729.050000)",active,2015-05-02 21:30:03.832586+01
1430598603.83325,dbt2,38405,10,mark,dbt2-client,,-1,2015-05-02 21:29:03.490541+01,2015-05-02 21:30:03.826076+01,2015-05-02 21:30:03.826103+01,t,"SELECT payment(1, 5, 712, 1, 5, '', 272.680000)",active,2015-05-02 21:30:03.826104+01
1430598603.83325,dbt2,38555,10,mark,"",,,2015-05-02 21:29:22.642274+01,2015-05-02 21:29:52.418907+01,2015-05-02 21:29:52.418907+01,f,autovacuum: VACUUM ANALYZE public.order_line,active,2015-05-02 21:29:52.418907+01
1430598603.83325,dbt2,38594,10,mark,psql,,-1,2015-05-02 21:30:03.827123+01,2015-05-02 21:30:03.833253+01,2015-05-02 21:30:03.833253+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-05-02 21:30:03.833261+01
1430598603.83325,dbt2,38595,10,mark,psql,,-1,2015-05-02 21:30:03.832783+01,,,f,"",idle,2015-05-02 21:30:03.834183+01
1430598663.84033,dbt2,38387,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.589541+01,2015-05-02 21:31:03.820071+01,2015-05-02 21:31:03.820093+01,t,"SELECT payment(1, 5, 0, 1, 5, 'ABLEPRESPRI', 982.520000)",active,2015-05-02 21:31:03.820093+01
1430598663.84033,dbt2,38389,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.689504+01,2015-05-02 21:31:03.836352+01,2015-05-02 21:31:03.836385+01,t,"SELECT payment(1, 8, 0, 1, 8, 'BAROUGHTESE', 3021.230000)",active,2015-05-02 21:31:03.836386+01
1430598663.84033,dbt2,38391,10,mark,dbt2-client,,-1,2015-05-02 21:29:02.789671+01,2015-05-02 21:31:03.782237+01,2015-05-02 21:31:03.782262+01,t,"SELECT payment(1, 10, 0, 1, 10, 'PRESATIONEING', 291.900000)",active,2015-05-02 21:31:03.782262+01
